16-Jun-2022 SHow Spectra 
Wavelength,UHP-T-670-SR,UHP-T-545-LA21,UHP-T-620-SR,UHP-T-405-EP,UHP-T-450-EP,UHP-T-488-SR,UHP-T-520-EP,UHP-T-650-EP
660.5,0.4514791330650852,0.00014285724416886352,0.0000478893796592137,2.143532658843107e-7,1.679163378865139e-8,9.352849902157099e-7,0.000015316481434472272,0.3408581833859172
661,0.49633707586467635,0.00011832564052617118,0.000038326303875438754,1.7304399607785878e-7,1.5468868831070365e-8,8.778530274045712e-7,0.000013802850368256916,0.2928245834477616
661.5,0.551227354166882,0.00009461008497144938,0.000029671478362493755,1.3464180543528806e-7,1.3183989006031962e-8,8.490737395740658e-7,0.000012879350319492114,0.24118476192418944
662,0.6031371661036767,0.00007298733644770255,0.000021768996984558264,1.1492246214495943e-7,3.310594328182293e-8,8.194941253180848e-7,0.000011985622356086396,0.19117702048605448
662.5,0.6516517014410566,0.0000554186229068531,0.000014989388978743385,9.2255590426916e-8,5.25506423911574e-8,7.962184155168238e-7,0.000010827637304479146,0.14777219278076378
663,0.7014760795090952,0.000039378488753121106,0.00001091602146466521,9.62356961811862e-8,4.099331954900199e-8,7.727401644007041e-7,0.00001030703650788828,0.10644175735991471
663.5,0.7390753009429833,0.00002954442679532693,0.000007243598501467271,1.1862626557050452e-7,2.2008170822623895e-8,7.962048659745184e-7,0.000010259377471802079,0.07890456462920072
664,0.77749465368041,0.000020476032909148173,0.00000542370584408593,1.2517181647346923e-7,0,8.228275105702134e-7,0.000009154907351893157,0.05335427588790223
664.5,0.8030298588642786,0.000014966294749109297,0.000003773219643802613,1.5442554943555452e-7,0,8.965124372398727e-7,0.000008711217721120589,0.040090687687446745
665,0.8289489531371554,0.000010283586085165835,0.000003328540330596363,1.2665409345778736e-7,0,9.890172723792736e-7,0.00000892473317058127,0.02801198308138915
665.5,0.8452488172582842,0.000008876310555908974,0.0000029200768947060833,1.5291952202221834e-7,0,0.0000010717196384263277,0.000010413923347044843,0.023493244487604915
666,0.861643994340085,0.000007596342299065323,0.0000027222740962604027,1.3653626419009776e-7,0,0.000001150013368322633,0.000011597173632050946,0.019433556965231056
666.5,0.8758015325387511,0.000006982509599899297,0.000002523268581986456,1.4046978410968118e-7,0,0.0000011924133834577076,0.00001167270568857196,0.017028254675741865
667,0.8899868641411327,0.0000063985006465727745,0.000002411800352613671,1.3336535263692567e-7,0,0.000001240594145930874,0.00001106334019762742,0.014815495182594172
667.5,0.8967054007906199,0.000005814802661856578,0.0000023143602383724592,9.52195367389825e-8,0,0.0000013077624041252675,0.000008971383886632045,0.01327603405949601
668,0.9034246127868448,0.000005270673189420593,0.0000023261312466565222,8.288772792970755e-8,0,0.0000013669743211956277,0.000008250112116125195,0.011837618604633974
668.5,0.9096471123094296,0.000004774382094130954,0.000002288771151230677,2.6991565407656954e-9,0,0.0000014295931470744282,0.000007766292143089044,0.01077278408037932
669,0.922420092828404,0.000004293819717196369,0.00000207113841134215,0,0,0.0000014825256406673788,0.00000760136524218458,0.009794825654839672
669.5,0.9296824071222446,0.00000391411162909794,0.000001890874194342302,0,0,0.000001505110592036655,0.000006742638885677681,0.008730234205536994
670,0.9369549869134908,0.0000035262034869655743,0.0000017967429375464325,0,0,0.0000015366109504202037,0.000004105448117933629,0.007772259189447761
670.5,0.9444233719673376,0.0000031983124851598015,0.0000017147228941986213,0,0,0.0000015607174282631205,0,0.0069597851090020596
671,0.9519044062972596,0.000002854619410538313,0.000001467906374559106,0,0,0.0000015950726504125977,0,0.0062346282755778495
671.5,0.9547110014118696,0.0000023350745622769325,0.0000012358480475239598,0,0,0.0000015592097541549666,0,0.005309800742587889
672,0.9575205048869075,0.0000018748214963869112,0.0000010839412044411613,0,0,0.0000015019643046326223,0,0.004478956310012596
672.5,0.9586449937328784,0.0000015643397081325973,9.506048548280874e-7,3.524119881677766e-8,0,0.0000014519403501151747,0,0.004086034617785669
673,0.9597701247895504,0.000001296257788162283,8.760606420657813e-7,5.500395033826497e-8,4.226782913274501e-8,0.0000014014617508188219,0,0.0037250233054011888
673.5,0.9544022063492759,0.000001069612799681607,8.534791180125021e-7,8.090210939715255e-8,1.0040292640151165e-7,0.0000013358317513810431,0,0.003450200891372886
674,0.9490170172366551,8.52005711130862e-7,7.986679405541959e-7,1.2626477509610428e-7,1.7223160021603026e-7,0.0000012679123306835404,0,0.003217088960748793
674.5,0.9436842793926308,6.527822130722838e-7,7.21737507241787e-7,1.6542148380731093e-7,2.8721346787956226e-7,0.0000012231138924267434,0,0.0029499819370324225
675,0.9316654826482182,4.454962123178257e-7,6.859526060648323e-7,1.763536112065254e-7,3.398072772218936e-7,0.000001159455091967822,0,0.002708948145813277
675.5,0.9183855120144,2.604869312294772e-7,6.353946990933821e-7,1.6051440871966405e-7,3.0575123236223953e-7,0.0000011142277327671665,6.687542614967508e-7,0.0026144386289752033
676,0.9051031305001139,1.0642320837589764e-7,5.578690510227154e-7,1.403091684882783e-7,3.0765991612951976e-7,0.0000010832509394338893,0.0000020676355207017795,0.0025098338507654693
676.5,0.8857034006335599,0,4.947235960335268e-7,1.1956506592454535e-7,2.692155823133472e-7,0.0000010488851394866677,0.000001884093076082377,0.002341649004617278
677,0.8662752654064849,0,4.7237816251351685e-7,9.412068447957948e-8,2.1967571559050445e-7,0.0000010067248687865978,0.000002367529947476144,0.0021944025313580663
677.5,0.8465677388785066,0,4.2727934023486534e-7,7.613044912252647e-8,1.7140078793641592e-7,9.616086806759388e-7,0.0000028177898760738584,0.002070337303403875
678,0.8201591539323813,0,3.4877347259977367e-7,7.153668603863724e-8,1.2713762279682016e-7,9.232807447155587e-7,0.0000035746967182302596,0.0019543341812479614
678.5,0.7930805555581439,0,2.6046806642839626e-7,5.8209900642725746e-8,7.90029349439038e-8,9.308226656783271e-7,0.000004257153161628751,0.001862312097382371
679,0.7660240929375908,0,2.0009688171759846e-7,4.2689792850638125e-8,7.804173345256523e-9,9.583660119257279e-7,0.000005528669943540846,0.0017750946727034048
679.5,0.7386401019670258,0,1.7805277488542454e-7,3.075354504115994e-8,0,9.97488451911013e-7,0.000006787002749131995,0.0017115733734778843
680,0.704638290945026,0,1.6082206106501798e-7,3.60882721540393e-8,0,0.00000103018214222575,0.000007659721553348467,0.0016492193026505534
680.5,0.677109568574234,0,1.4256377143828012e-7,3.3035634686499095e-8,0,0.000001073305800113903,0.00000822820755602328,0.0015952395610036264
681,0.6449951875565213,0,1.3753121585386612e-7,4.721705437931015e-8,0,0.0000011073996352196382,0.000008787727469844195,0.0015433648045313718
681.5,0.6123957647808335,0,1.270608009954147e-7,6.401539313675093e-8,0,0.0000011369915302552244,0.000010361081394678311,0.0014926492078688911
682,0.5798677321633763,0,1.2364262194714818e-7,9.685529844984684e-8,0,0.0000011822469250201716,0.000010564830580946295,0.0014430925743272715
682.5,0.54865827599271,0,1.4698754540561256e-7,1.0857914208796466e-7,0,0.0000012882714535345334,0.000012398949866079686,0.001305105493152198
683,0.5174503817244138,0,1.9499581495024065e-7,1.0646355530574048e-7,0,0.0000014060330719265308,0.00001537959362861609,0.0011829042814816431
683.5,0.4860297445446115,0,2.369155562890765e-7,1.0549807754776318e-7,0,0.0000014625995450034236,0.000017643604476788482,0.001252341960448217
684,0.456121552740932,0,2.4529476831114133e-7,1.1985724059718293e-7,0,0.0000015197917954279088,0.000016549762251698884,0.0013120530909869824
684.5,0.42807634494831254,0,1.8790727317910178e-7,9.295603429425846e-8,0,0.0000015697825290664811,0.000015236325629341214,0.0011921058799666936
685,0.399991847912522,0,1.6518296788086214e-7,4.477960635574467e-8,0,0.0000016307438725912688,0.00001578180823235355,0.0010827919525420262
685.5,0.37354672817908574,0,1.622521988282502e-7,3.470842524671384e-8,0,0.0000016811474748034264,0.000018109810015243064,0.0010199671942525636
686,0.3504074872880999,0,1.9228525013961936e-7,4.176083706576492e-8,0,0.0000017318112581891467,0.000019409017641928117,0.0009611273343773789
686.5,0.3284750383900369,0,2.1222956073720216e-7,3.8119106865913027e-8,0,0.0000017845533259299048,0.000018966255177412828,0.000929591681245885
687,0.3065641888587106,0,2.3201383147835002e-7,2.6270779169680396e-8,0,0.0000018507236898962233,0.000018847826077903233,0.000899729488076421
687.5,0.2863988873307405,0,2.342666235209755e-7,0,0,0.000001885532176298855,0.000017514621396448476,0.0008348466981392707
