Wavelength,UHP-T-405-EP,UHP-T-435-SR,UHP-T-488-SR,UHP-T-545-LA21,UHP-T-596-LA21,UHP-T-630-SR,UHP-T-670-SR,UHP-T-730-SR
364,0.002428983,0.003632184,0.005299401,0,0.000208224,0.000616967,0,0
364.5,0.002370266,0.003643678,0.005329341,0,0.000231908,0.000658849,0,0
365,0.00236586,0.00367433,0.005419162,0,0.000275987,0.000652845,0,0
365.5,0.002465251,0.00367433,0.005449102,0,0.000285855,0.000665739,0,0
366,0.002574383,0.003693487,0.005449102,0,0.000307237,0.000693184,0,0
366.5,0.002639904,0.003747126,0.005479042,0,0.000358553,0.00062783,0,0
367,0.002776191,0.003789272,0.005479042,0,0.000378289,0.000571168,0,0
367.5,0.00288856,0.003773946,0.005508982,0,0.000324342,0.000581946,0,0
368,0.0030101,0.003770115,0.005538922,0,0.000268421,0.000593381,0,0
368.5,0.003219792,0.003758621,0.005568862,0,0.000203618,0.00057174,0,0
369,0.003363212,0.003789272,0.005538922,0,0.000191776,0.000468421,0,0
369.5,0.003544309,0.003869732,0.005508982,0,0.000220395,0.000263814,0,0
370,0.003846437,0.003869732,0.005508982,0,0.000188158,8.08E-05,0,0
370.5,0.004275381,0.003908046,0.005508982,0,0.000154934,2.66E-06,0,0
371,0.004697311,0.00394636,0.005508982,0,0.000141776,0,0,0
371.5,0.005144827,0.003984674,0.005538922,0,0.000110855,0,0,0
372,0.005613257,0.004061303,0.005598802,0,9.44E-05,0,0,0
372.5,0.006203246,0.004137931,0.005598802,0,9.31E-05,0,0,0
373,0.006912917,0.004099617,0.005598802,0,1.24E-05,0,0,0
373.5,0.007641261,0.004099617,0.005598802,0,-5.20E-05,0,0,0
374,0.008550703,0.004137931,0.005598802,0,-7.04E-05,0,0,0
374.5,0.009567987,0.004214559,0.005538922,0,-0.000103289,0,0,0
375,0.010757616,0.004252874,0.005508982,0,-0.000144737,0,0,0
375.5,0.012229591,0.004291188,0.005508982,0,-0.000226974,0,0,0
376,0.013825954,0.004367816,0.005449102,0,-0.000251974,0,0,0
376.5,0.015688178,0.004444444,0.005449102,0,-0.000293092,0,0,0
377,0.01778479,0.004521073,0.005419162,0,-0.000306579,0,0,0
377.5,0.02017274,0.004597701,0.005389222,0,-0.000305263,0,0,0
378,0.022929059,0.004636015,0.005359281,0,-0.000323684,0,0,0
378.5,0.025992002,0.004597701,0.005329341,0,-0.000371711,0,0,0
379,0.029351078,0.004636015,0.005359281,0,-0.000401316,0,0,0
379.5,0.033210704,0.004712644,0.005389222,0,-0.000404605,0,0,0
380,0.037608345,0.004827586,0.005359281,0,-0.000378289,0,0,0
380.5,0.042658799,0.004942529,0.005389222,0.002252004,-0.000348684,0,0,0
381,0.048356669,0.005057471,0.005449102,0,-0.000345395,0,0,0
381.5,0.054579068,0.0051341,0.005508982,0,-0.000351974,0,0,0
382,0.061460873,0.005172414,0.005568862,0,-0.000361842,0,0,0
382.5,0.069151949,0.005249042,0.005598802,0,-0.000351974,0,0,0
383,0.077574368,0.005287356,0.005598802,0,-0.000345395,0,0,0
383.5,0.087015868,0.005440613,0.005568862,0.002359114,-0.000287829,0,0,0
384,0.097584355,0.005517241,0.005479042,0.005938422,-0.000235855,0,0,0
384.5,0.109285821,0.00559387,0.005419162,0.004768822,-0.000213816,0,0,0
385,0.122333076,0.005708812,0.005389222,0.004015822,-0.000167105,3.21E-05,0,0
385.5,0.136735111,0.005785441,0.005389222,0.003745087,-0.000143092,0.000152519,0,0
386,0.152494924,0.005785441,0.005389222,0.003514719,-0.000199671,0.000186282,0,0
386.5,0.170047124,0.005785441,0.005389222,0.004668171,-0.000247368,0.000244431,0,0
387,0.189193888,0.005862069,0.005389222,0.003519025,-0.000221382,0.000316988,0,0
387.5,0.210210968,0.006015326,0.005449102,0.003456589,-0.000119737,0.000344805,0,0
388,0.233317168,0.006091954,0.005508982,0.00071317,-8.29E-05,0.000418763,0,0
388.5,0.258233738,0.006168582,0.005568862,0.0000242,-0.00008125,0.000472624,0,0
389,0.285224441,0.006206897,0.005598802,0.000233059,-0.000111513,0.000477427,0,0
389.5,0.314367207,0.006168582,0.005568862,0,-0.000207895,0.000473596,0,0
390,0.345449227,0.006168582,0.005598802,0,-0.000256579,0.000531545,0,0
390.5,0.378779223,0.006206897,0.005598802,0,-0.000261842,0.000536147,0,0
391,0.414117412,0.006245211,0.005628743,0,-0.000249671,0.00051948,0,0
391.5,0.451194035,0.006321839,0.005598802,0,-0.000215789,0.000479828,0,0
392,0.490128986,0.006398467,0.005688623,0.000923085,-0.000183553,0.000518508,0,0
392.5,0.530262857,0.006475096,0.005748503,0.003140103,-0.000201316,0.000546668,0,0
393,0.571295919,0.006628352,0.005748503,0.001115775,-0.000173684,0.000522854,0,0
393.5,0.613048334,0.006781609,0.005748503,0.002574411,-0.000170066,0.000529143,0,0
394,0.655040533,0.006934866,0.005748503,0,-0.000202961,0.000522968,0,0
394.5,0.696912839,0.007088123,0.005778443,0.000364928,-0.000202961,0.000451954,0,0
395,0.738095766,0.007279693,0.005808383,0.000949997,-0.000223684,0.000446037,0,0
395.5,0.777959881,0.00743295,0.005898204,0.000559233,-0.00028125,0.000462646,0,0
396,0.815576018,0.007586207,0.005988024,0.001782119,-0.000342105,0.000433658,0,0
396.5,0.850704396,0.007854406,0.006077844,0.002401635,-0.000348684,0.000399781,0,0
397,0.88301531,0.008122605,0.006137725,0.003681036,-0.000355263,0.000341203,0,0
397.5,0.911789407,0.008505747,0.006167665,0.00433177,-0.000308882,0.000254609,0,0
398,0.937176554,0.008927203,0.006227545,0.004516925,-0.000219408,0.00017276,0,0
398.5,0.958547316,0.009348659,0.006257485,0.004241345,-0.000149342,0.000129706,0,0
399,0.975631936,0.009846743,0.006287425,0.004085794,-0.000101316,0.000122273,0,0
399.5,0.988550307,0.010344828,0.006317365,0.005877601,-9.97E-05,0.00015169,0,0
400,0.99652313,0.010842912,0.006347305,0.00740836,-0.00013125,0.000175218,0,0
400.5,1,0.011417625,0.006407186,0.008556968,-0.000159211,0.000242173,0,0
